# ChemOrigins supplement for surface pond / wet-dry chemistry
# Generated from reference_reactions/ChemOrigins/extracted/chemorigins_reactions_full.tsv.
# Columns: ID | MODULE | REACTION | CATALYST_OR_CONTROL | RATE_TEMPLATE | ROLE | REFS | CONFIDENCE
pbr-000032 | surface_pond | hydrogen cyanide + Formaldehyde -> glycolonitrile | Sodium; Chloride | chemorigins_experimental | pond/wet-dry/nucleotide or phosphate-compatible chemistry; mineral/metal/surface chemistry; prebiotic synthesis/source module | ChemOrigins pbr-000032; 10.1073/pnas.1922139117; A continuous reaction network that produces RNA precursors; https://chemorigins.bact.wisc.edu/reactions/pbr-000032 | source_database
pbr-000264 | Oxazole pathway | Ammonia + Glycolaldehyde -> 1,3-oxazol-2-amine | none_reported | chemorigins_experimental | pond/wet-dry/nucleotide or phosphate-compatible chemistry; mineral/metal/surface chemistry; prebiotic synthesis/source module | ChemOrigins pbr-000264; 10.1038/s41467-018-04147-2; Mimicking the surface and prebiotic chemistry of early Earth using flow chemistry; https://chemorigins.bact.wisc.edu/reactions/pbr-000264 | source_database
pbr-000266 | Oxazole pathway | Ammonia + hydroxymethyl hydrogen sulfite -> 1,3-oxazol-2-amine | none_reported | chemorigins_experimental | pond/wet-dry/nucleotide or phosphate-compatible chemistry; mineral/metal/surface chemistry; prebiotic synthesis/source module | ChemOrigins pbr-000266; 10.1038/s41467-018-04147-2; Mimicking the surface and prebiotic chemistry of early Earth using flow chemistry; https://chemorigins.bact.wisc.edu/reactions/pbr-000266 | source_database
pbr-000267 | Oxazole pathway | cyanamide + hydroxymethyl hydrogen sulfite -> 1,3-oxazol-2-amine | Ca(OH)2 | chemorigins_experimental | pond/wet-dry/nucleotide or phosphate-compatible chemistry; mineral/metal/surface chemistry; prebiotic synthesis/source module | ChemOrigins pbr-000267; 10.1038/s41467-018-04147-2; Mimicking the surface and prebiotic chemistry of early Earth using flow chemistry; https://chemorigins.bact.wisc.edu/reactions/pbr-000267 | source_database
pbr-000269 | Oxazole pathway | cyanamide + Sulfite + Glycolaldehyde -> 1,3-oxazol-2-amine | none_reported | chemorigins_experimental | pond/wet-dry/nucleotide or phosphate-compatible chemistry; mineral/metal/surface chemistry; prebiotic synthesis/source module | ChemOrigins pbr-000269; 10.1038/s41467-018-04147-2; Mimicking the surface and prebiotic chemistry of early Earth using flow chemistry; https://chemorigins.bact.wisc.edu/reactions/pbr-000269 | source_database
pbr-000304 | Oxazole pathway | pbm-000194 -> 5-(hydroxymethyl)-2-iminohexahydrofuro(2,3-d)(1,3)oxazol-6-ol | none_reported | chemorigins_experimental | pond/wet-dry/nucleotide or phosphate-compatible chemistry; prebiotic synthesis/source module | ChemOrigins pbr-000304; 10.1002/ange.200601267; Direct Assembly of Nucleoside Precursors from Two‐ and Three‐Carbon Units; https://chemorigins.bact.wisc.edu/reactions/pbr-000304 | source_database
pbr-000306 | surface_pond | hydrogen sulfide + pbm-000227 -> 4-amino-1-[3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]pyrimidine-2-thione | none_reported | chemorigins_experimental | pond/wet-dry/nucleotide or phosphate-compatible chemistry; mineral/metal/surface chemistry; prebiotic synthesis/source module | ChemOrigins pbr-000306; 10.1038/nchem.2664; A prebiotically plausible synthesis of pyrimidine β-ribonucleosides and their phosphate derivatives involving photoanomerization; https://chemorigins.bact.wisc.edu/reactions/pbr-000306 | source_database
pbr-000307 | surface_pond | H2O + 4-amino-1-[3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]pyrimidine-2-thione -> Ammonia + 1-[3,4-dihydroxy-5-(hydroxymethyl)tetrahydro-2-furanyl]-4-hydroxy-2(1h)-pyrimidinethione | Ultraviolet radiation | chemorigins_experimental | pond/wet-dry/nucleotide or phosphate-compatible chemistry; prebiotic synthesis/source module | ChemOrigins pbr-000307; 10.1038/s41586-020-2330-9; Selective prebiotic formation of RNA pyrimidine and DNA purine nucleosides; https://chemorigins.bact.wisc.edu/reactions/pbr-000307 | source_database
pbr-000308 | surface_pond | 1-[3,4-dihydroxy-5-(hydroxymethyl)tetrahydro-2-furanyl]-4-hydroxy-2(1h)-pyrimidinethione -> pbm-000230 | none_reported | chemorigins_experimental | pond/wet-dry/nucleotide or phosphate-compatible chemistry; prebiotic synthesis/source module | ChemOrigins pbr-000308; 10.1038/s41586-020-2330-9; Selective prebiotic formation of RNA pyrimidine and DNA purine nucleosides; https://chemorigins.bact.wisc.edu/reactions/pbr-000308 | source_database
pbr-000309 | surface_pond | 6-amino-9h-purine-8-thiol + pbm-000230 -> pbm-000231 | Magnesium chloride | chemorigins_experimental | pond/wet-dry/nucleotide or phosphate-compatible chemistry; mineral/metal/surface chemistry; prebiotic synthesis/source module | ChemOrigins pbr-000309; 10.1038/s41586-020-2330-9; Selective prebiotic formation of RNA pyrimidine and DNA purine nucleosides; https://chemorigins.bact.wisc.edu/reactions/pbr-000309 | source_database
pbr-000310 | surface_pond | 6-amino-9h-purine-8-thiol + pbm-000230 -> pbm-000232 | Magnesium chloride | chemorigins_experimental | pond/wet-dry/nucleotide or phosphate-compatible chemistry; mineral/metal/surface chemistry; prebiotic synthesis/source module | ChemOrigins pbr-000310; 10.1038/s41586-020-2330-9; Selective prebiotic formation of RNA pyrimidine and DNA purine nucleosides; https://chemorigins.bact.wisc.edu/reactions/pbr-000310 | source_database
pbr-000311 | surface_pond | 6-amino-9h-purine-8-thiol + pbm-000227 -> pbm-000232 | Magnesium chloride | chemorigins_experimental | pond/wet-dry/nucleotide or phosphate-compatible chemistry; mineral/metal/surface chemistry; prebiotic synthesis/source module | ChemOrigins pbr-000311; 10.1038/s41586-020-2330-9; Selective prebiotic formation of RNA pyrimidine and DNA purine nucleosides; https://chemorigins.bact.wisc.edu/reactions/pbr-000311 | source_database
pbr-000312 | surface_pond | 6-amino-9h-purine-8-thiol + pbm-000227 -> pbm-000231 | Magnesium chloride | chemorigins_experimental | pond/wet-dry/nucleotide or phosphate-compatible chemistry; mineral/metal/surface chemistry; prebiotic synthesis/source module | ChemOrigins pbr-000312; 10.1038/s41586-020-2330-9; Selective prebiotic formation of RNA pyrimidine and DNA purine nucleosides; https://chemorigins.bact.wisc.edu/reactions/pbr-000312 | source_database
pbr-000313 | surface_pond | Sulfite + pbm-000231 -> 6-amino-9-[4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]-7h-purine-8-thione | none_reported | chemorigins_experimental | pond/wet-dry/nucleotide or phosphate-compatible chemistry; prebiotic synthesis/source module | ChemOrigins pbr-000313; 10.1038/s41586-020-2330-9; Selective prebiotic formation of RNA pyrimidine and DNA purine nucleosides; https://chemorigins.bact.wisc.edu/reactions/pbr-000313 | source_database
pbr-000314 | surface_pond | Sulfite + pbm-000231 -> deoxyadenosine | none_reported | chemorigins_experimental | pond/wet-dry/nucleotide or phosphate-compatible chemistry; prebiotic synthesis/source module | ChemOrigins pbr-000314; 10.1038/s41586-020-2330-9; Selective prebiotic formation of RNA pyrimidine and DNA purine nucleosides; https://chemorigins.bact.wisc.edu/reactions/pbr-000314 | source_database
pbr-000692 | surface_pond | Sulfite + Formaldehyde -> hydroxymethyl hydrogen sulfite | Phosphate | chemorigins_experimental | pond/wet-dry/nucleotide or phosphate-compatible chemistry; mineral/metal/surface chemistry; prebiotic synthesis/source module | ChemOrigins pbr-000692; 10.1038/s41467-018-04147-2; Mimicking the surface and prebiotic chemistry of early Earth using flow chemistry; https://chemorigins.bact.wisc.edu/reactions/pbr-000692 | source_database
pbr-000693 | surface_pond | pbm-000556 + Urea + pentofuranose + Orthophosphate -> pbm-000557 | none_reported | chemorigins_experimental | pond/wet-dry/nucleotide or phosphate-compatible chemistry; mineral/metal/surface chemistry | ChemOrigins pbr-000693; 10.1038/s41598-022-15753-y; Borate-guided ribose phosphorylation for prebiotic nucleotide synthesis; https://chemorigins.bact.wisc.edu/reactions/pbr-000693 | source_database
pbr-000694 | surface_pond | H2O + pbm-000557 -> Urea + pbm-000556 + pbm-000558 | none_reported | chemorigins_experimental | pond/wet-dry/nucleotide or phosphate-compatible chemistry; mineral/metal/surface chemistry | ChemOrigins pbr-000694; 10.1038/s41598-022-15753-y; Borate-guided ribose phosphorylation for prebiotic nucleotide synthesis; https://chemorigins.bact.wisc.edu/reactions/pbr-000694 | source_database
pbr-000695 | surface_pond | Orthophosphate + pbm-000052 -> 4-amino-1-[2-hydroxy-6-(hydroxymethyl)-2-oxidotetrahydrofuro[3,4-d][1,3,2]dioxaphosphol-4-yl]pyrimidin-2(1h)-one | Urea | chemorigins_experimental | pond/wet-dry/nucleotide or phosphate-compatible chemistry; mineral/metal/surface chemistry; prebiotic synthesis/source module | ChemOrigins pbr-000695; 10.1038/nchem.2202; Common origins of RNA, protein and lipid precursors in a cyanosulfidic protometabolism; https://chemorigins.bact.wisc.edu/reactions/pbr-000695 | source_database
pbr-000701 | Arginine-synthesis | 2-(2-cyanoethyl)guanidine -> 4-hydroxy-2-imino-hexahydropyrimidine | Sulfidic acid; Elemental cupper | chemorigins_experimental | pond/wet-dry/nucleotide or phosphate-compatible chemistry; prebiotic synthesis/source module | ChemOrigins pbr-000701; 10.1038/nchem.2202; Common origins of RNA, protein and lipid precursors in a cyanosulfidic protometabolism; https://chemorigins.bact.wisc.edu/reactions/pbr-000701 | source_database
pbr-000702 | Arginine-synthesis | H2O + 2-(2-cyanoethyl)guanidine -> 4-hydroxy-2-imino-hexahydropyrimidine | Sulfidic acid; Elemental cupper | chemorigins_experimental | pond/wet-dry/nucleotide or phosphate-compatible chemistry; prebiotic synthesis/source module | ChemOrigins pbr-000702; 10.1038/nchem.2202; Common origins of RNA, protein and lipid precursors in a cyanosulfidic protometabolism; https://chemorigins.bact.wisc.edu/reactions/pbr-000702 | source_database
pbr-000703 | Arginine-synthesis | H2O + 2-(2-cyanoethyl)guanidine -> Ammonia + 4-hydroxy-2-imino-hexahydropyrimidine | Sulfidic acid; Elemental cupper | chemorigins_experimental | pond/wet-dry/nucleotide or phosphate-compatible chemistry; prebiotic synthesis/source module | ChemOrigins pbr-000703; 10.1038/nchem.2202; Common origins of RNA, protein and lipid precursors in a cyanosulfidic protometabolism; https://chemorigins.bact.wisc.edu/reactions/pbr-000703 | source_database
pbr-000707 | Oxazole pathway | cyanoacetylene + 5-(hydroxymethyl)-2-iminohexahydrofuro(2,3-d)(1,3)oxazol-6-ol -> pbm-000559 | Phosphate | chemorigins_experimental | pond/wet-dry/nucleotide or phosphate-compatible chemistry; mineral/metal/surface chemistry; prebiotic synthesis/source module | ChemOrigins pbr-000707; 10.1038/nature08013; Synthesis of activated pyrimidine ribonucleotides in prebiotically plausible conditions; https://chemorigins.bact.wisc.edu/reactions/pbr-000707 | source_database
pbr-000708 | surface_pond | Orthophosphate + pbm-000227 -> 4-amino-1-[2-hydroxy-6-(hydroxymethyl)-2-oxidotetrahydrofuro[3,4-d][1,3,2]dioxaphosphol-4-yl]pyrimidin-2(1h)-one + H2O | Ammonia; Urea; Phosphate | chemorigins_experimental | pond/wet-dry/nucleotide or phosphate-compatible chemistry; mineral/metal/surface chemistry; prebiotic synthesis/source module | ChemOrigins pbr-000708; 10.1038/nature08013; Synthesis of activated pyrimidine ribonucleotides in prebiotically plausible conditions; https://chemorigins.bact.wisc.edu/reactions/pbr-000708 | source_database
pbr-000709 | surface_pond | Sulfite + nitrous acid -> imidodisulfuric acid, hydroxy- | none_reported | chemorigins_experimental | pond/wet-dry/nucleotide or phosphate-compatible chemistry; prebiotic synthesis/source module | ChemOrigins pbr-000709; 10.1126/science.aax2747; Unified prebiotically plausible synthesis of pyrimidine and purine RNA ribonucleotides; https://chemorigins.bact.wisc.edu/reactions/pbr-000709 | source_database
pbr-000710 | surface_pond | sulfosulfamic acid -> hydroxylamine + sulfuric acid | none_reported | chemorigins_experimental | pond/wet-dry/nucleotide or phosphate-compatible chemistry; prebiotic synthesis/source module | ChemOrigins pbr-000710; 10.1126/science.aax2747; Unified prebiotically plausible synthesis of pyrimidine and purine RNA ribonucleotides; https://chemorigins.bact.wisc.edu/reactions/pbr-000710 | source_database
pbr-000711 | surface_pond | cyanoacetylene + imidodisulfuric acid, hydroxy- -> pbm-000562 | none_reported | chemorigins_experimental | pond/wet-dry/nucleotide or phosphate-compatible chemistry; prebiotic synthesis/source module | ChemOrigins pbr-000711; 10.1126/science.aax2747; Unified prebiotically plausible synthesis of pyrimidine and purine RNA ribonucleotides; https://chemorigins.bact.wisc.edu/reactions/pbr-000711 | source_database
pbr-000712 | surface_pond | hydroxylamine + hydrogen cyanide -> hydroxyurea | none_reported | chemorigins_experimental | pond/wet-dry/nucleotide or phosphate-compatible chemistry; prebiotic synthesis/source module | ChemOrigins pbr-000712; 10.1126/science.aax2747; Unified prebiotically plausible synthesis of pyrimidine and purine RNA ribonucleotides; https://chemorigins.bact.wisc.edu/reactions/pbr-000712 | source_database
pbr-000713 | surface_pond | hydroxyurea + cyanoacetylene -> 3-amino-4,5-dihydroisoxazole | none_reported | chemorigins_experimental | pond/wet-dry/nucleotide or phosphate-compatible chemistry; prebiotic synthesis/source module | ChemOrigins pbr-000713; 10.1126/science.aax2747; Unified prebiotically plausible synthesis of pyrimidine and purine RNA ribonucleotides; https://chemorigins.bact.wisc.edu/reactions/pbr-000713 | source_database
pbr-000714 | surface_pond | hydroxylamine + cyanoacetylene -> 3-amino-4,5-dihydroisoxazole | none_reported | chemorigins_experimental | pond/wet-dry/nucleotide or phosphate-compatible chemistry; prebiotic synthesis/source module | ChemOrigins pbr-000714; 10.1126/science.aax2747; Unified prebiotically plausible synthesis of pyrimidine and purine RNA ribonucleotides; https://chemorigins.bact.wisc.edu/reactions/pbr-000714 | source_database
pbr-000715 | surface_pond | pbm-000562 -> 3-amino-4,5-dihydroisoxazole | none_reported | chemorigins_experimental | pond/wet-dry/nucleotide or phosphate-compatible chemistry; prebiotic synthesis/source module | ChemOrigins pbr-000715; 10.1126/science.aax2747; Unified prebiotically plausible synthesis of pyrimidine and purine RNA ribonucleotides; https://chemorigins.bact.wisc.edu/reactions/pbr-000715 | source_database
pbr-000716 | surface_pond | Urea + 3-amino-4,5-dihydroisoxazole -> pbm-000565 | Cobaltous ion | chemorigins_experimental | pond/wet-dry/nucleotide or phosphate-compatible chemistry; mineral/metal/surface chemistry; prebiotic synthesis/source module | ChemOrigins pbr-000716; 10.1126/science.aax2747; Unified prebiotically plausible synthesis of pyrimidine and purine RNA ribonucleotides; https://chemorigins.bact.wisc.edu/reactions/pbr-000716 | source_database
pbr-000717 | surface_pond | pentofuranose + pbm-000565 -> pbm-000566 | B(O)(O)O | chemorigins_experimental | pond/wet-dry/nucleotide or phosphate-compatible chemistry; prebiotic synthesis/source module | ChemOrigins pbr-000717; 10.1126/science.aax2747; Unified prebiotically plausible synthesis of pyrimidine and purine RNA ribonucleotides; https://chemorigins.bact.wisc.edu/reactions/pbr-000717 | source_database
pbr-000718 | surface_pond | pbm-000566 -> 1-beta-d-arabinofuranosylcytosine | Dithiothreitol; Ferrous iron | chemorigins_experimental | pond/wet-dry/nucleotide or phosphate-compatible chemistry; mineral/metal/surface chemistry; prebiotic synthesis/source module | ChemOrigins pbr-000718; 10.1126/science.aax2747; Unified prebiotically plausible synthesis of pyrimidine and purine RNA ribonucleotides; https://chemorigins.bact.wisc.edu/reactions/pbr-000718 | source_database
pbr-000719 | surface_pond | pbm-000566 -> arabinofuranosyluracil | Dithiothreitol; Ferrous iron | chemorigins_experimental | pond/wet-dry/nucleotide or phosphate-compatible chemistry; mineral/metal/surface chemistry; prebiotic synthesis/source module | ChemOrigins pbr-000719; 10.1126/science.aax2747; Unified prebiotically plausible synthesis of pyrimidine and purine RNA ribonucleotides; https://chemorigins.bact.wisc.edu/reactions/pbr-000719 | source_database
pbr-000720 | surface_pond | H2O + malononitrile -> 2-hydroxyiminopropanedinitrile | Acetate; Sodium nitrate- | chemorigins_experimental | pond/wet-dry/nucleotide or phosphate-compatible chemistry; prebiotic synthesis/source module | ChemOrigins pbr-000720; 10.1038/s41467-017-02639-1; Wet-dry cycles enable the parallel origin of canonical and non-canonical nucleosides by continuous synthesis; https://chemorigins.bact.wisc.edu/reactions/pbr-000720 | source_database
pbr-000721 | surface_pond | acetamidine + 2-hydroxyiminopropanedinitrile -> 4,6-pyrimidinediamine, 5-nitroso- | Acetate; Sodium nitrate- | chemorigins_experimental | pond/wet-dry/nucleotide or phosphate-compatible chemistry; prebiotic synthesis/source module | ChemOrigins pbr-000721; 10.1038/s41467-017-02639-1; Wet-dry cycles enable the parallel origin of canonical and non-canonical nucleosides by continuous synthesis; https://chemorigins.bact.wisc.edu/reactions/pbr-000721 | source_database
pbr-000722 | surface_pond | pentofuranose + n-(4,6-diaminopyrimidin-5-yl)formamide -> pbm-000574 | Acetate; Sodium nitrate- | chemorigins_experimental | pond/wet-dry/nucleotide or phosphate-compatible chemistry; prebiotic synthesis/source module | ChemOrigins pbr-000722; 10.1038/s41467-017-02639-1; Wet-dry cycles enable the parallel origin of canonical and non-canonical nucleosides by continuous synthesis; https://chemorigins.bact.wisc.edu/reactions/pbr-000722 | source_database
pbr-000723 | surface_pond | pbm-000574 -> 2-(6-aminopurin-9-yl)-5-(hydroxymethyl)oxolane-3,4-diol | none_reported | chemorigins_experimental | pond/wet-dry/nucleotide or phosphate-compatible chemistry; prebiotic synthesis/source module | ChemOrigins pbr-000723; 10.1038/s41467-017-02639-1; Wet-dry cycles enable the parallel origin of canonical and non-canonical nucleosides by continuous synthesis; https://chemorigins.bact.wisc.edu/reactions/pbr-000723 | source_database
pbr-000724 | surface_pond | methyl thioacetimidate + pbm-000576 -> 4,6-pyrimidinediamine, 2-(methylthio)-5-nitroso- | Acetate; Sodium nitrate- | chemorigins_experimental | pond/wet-dry/nucleotide or phosphate-compatible chemistry; prebiotic synthesis/source module | ChemOrigins pbr-000724; 10.1038/s41467-017-02639-1; Wet-dry cycles enable the parallel origin of canonical and non-canonical nucleosides by continuous synthesis; https://chemorigins.bact.wisc.edu/reactions/pbr-000724 | source_database
pbr-000725 | surface_pond | pentofuranose + 2,4-diamino-5-(formylamino)-6-hydroxypyrimidine -> pbm-000580 | Acetate; Sodium nitrate- | chemorigins_experimental | pond/wet-dry/nucleotide or phosphate-compatible chemistry; prebiotic synthesis/source module | ChemOrigins pbr-000725; 10.1038/s41467-017-02639-1; Wet-dry cycles enable the parallel origin of canonical and non-canonical nucleosides by continuous synthesis; https://chemorigins.bact.wisc.edu/reactions/pbr-000725 | source_database
pbr-000726 | surface_pond | pbm-000580 -> guanine, 9-beta-d-xylofuranosyl- | none_reported | chemorigins_experimental | pond/wet-dry/nucleotide or phosphate-compatible chemistry; prebiotic synthesis/source module | ChemOrigins pbr-000726; 10.1038/s41467-017-02639-1; Wet-dry cycles enable the parallel origin of canonical and non-canonical nucleosides by continuous synthesis; https://chemorigins.bact.wisc.edu/reactions/pbr-000726 | source_database
pbr-000727 | surface_pond | Ammonia + cyanoacetylene -> beta-aminoacrylonitrile | none_reported | chemorigins_experimental | pond/wet-dry/nucleotide or phosphate-compatible chemistry; prebiotic synthesis/source module | ChemOrigins pbr-000727; 10.1126/science.aax2747; Unified prebiotically plausible synthesis of pyrimidine and purine RNA ribonucleotides; https://chemorigins.bact.wisc.edu/reactions/pbr-000727 | source_database
pbr-000728 | surface_pond | beta-aminoacrylonitrile -> malononitrile | none_reported | chemorigins_experimental | pond/wet-dry/nucleotide or phosphate-compatible chemistry; prebiotic synthesis/source module | ChemOrigins pbr-000728; 10.1126/science.aax2747; Unified prebiotically plausible synthesis of pyrimidine and purine RNA ribonucleotides; https://chemorigins.bact.wisc.edu/reactions/pbr-000728 | source_database
pbr-000729 | surface_pond | cyanoacetylene -> pbm-000565 | Dithiothreitol; Ferrous iron; B(O)(O)O | chemorigins_experimental | pond/wet-dry/nucleotide or phosphate-compatible chemistry; mineral/metal/surface chemistry; prebiotic synthesis/source module | ChemOrigins pbr-000729; 10.1126/science.aax2747; Unified prebiotically plausible synthesis of pyrimidine and purine RNA ribonucleotides; https://chemorigins.bact.wisc.edu/reactions/pbr-000729 | source_database
pbr-000730 | surface_pond | pentofuranose + pbm-000565 -> arabinofuranosyluracil | Dithiothreitol; Ferrous iron; B(O)(O)O | chemorigins_experimental | pond/wet-dry/nucleotide or phosphate-compatible chemistry; mineral/metal/surface chemistry; prebiotic synthesis/source module | ChemOrigins pbr-000730; 10.1126/science.aax2747; Unified prebiotically plausible synthesis of pyrimidine and purine RNA ribonucleotides; https://chemorigins.bact.wisc.edu/reactions/pbr-000730 | source_database
pbr-000731 | surface_pond | pentofuranose + pbm-000565 -> 1-beta-d-arabinofuranosylcytosine | Dithiothreitol; Ferrous iron; B(O)(O)O | chemorigins_experimental | pond/wet-dry/nucleotide or phosphate-compatible chemistry; mineral/metal/surface chemistry; prebiotic synthesis/source module | ChemOrigins pbr-000731; 10.1126/science.aax2747; Unified prebiotically plausible synthesis of pyrimidine and purine RNA ribonucleotides; https://chemorigins.bact.wisc.edu/reactions/pbr-000731 | source_database
pbr-000732 | surface_pond | pentofuranose + n-(4,6-diaminopyrimidin-5-yl)formamide -> 2-(6-aminopurin-9-yl)-5-(hydroxymethyl)oxolane-3,4-diol | Dithiothreitol; Ferrous iron; B(O)(O)O | chemorigins_experimental | pond/wet-dry/nucleotide or phosphate-compatible chemistry; mineral/metal/surface chemistry; prebiotic synthesis/source module | ChemOrigins pbr-000732; 10.1126/science.aax2747; Unified prebiotically plausible synthesis of pyrimidine and purine RNA ribonucleotides; https://chemorigins.bact.wisc.edu/reactions/pbr-000732 | source_database
pbr-000733 | surface_pond | Orthophosphate + pbm-000227 -> 4-amino-1-[2-hydroxy-6-(hydroxymethyl)-2-oxidotetrahydrofuro[3,4-d][1,3,2]dioxaphosphol-4-yl]pyrimidin-2(1h)-one | none_reported | chemorigins_experimental | pond/wet-dry/nucleotide or phosphate-compatible chemistry; mineral/metal/surface chemistry; prebiotic synthesis/source module | ChemOrigins pbr-000733; 10.1038/nature08013; Synthesis of activated pyrimidine ribonucleotides in prebiotically plausible conditions; https://chemorigins.bact.wisc.edu/reactions/pbr-000733 | source_database
pbr-000734 | surface_pond | 4-amino-1-[2-hydroxy-6-(hydroxymethyl)-2-oxidotetrahydrofuro[3,4-d][1,3,2]dioxaphosphol-4-yl]pyrimidin-2(1h)-one -> 4-hydroxy-1-[2-hydroxy-6-(hydroxymethyl)-2-oxotetrahydro-2h-2lambda~5~-furo[3,4-d][1,3,2]dioxaphosphol-4-yl]pyrimidin-2(1h)-one | none_reported | chemorigins_experimental | pond/wet-dry/nucleotide or phosphate-compatible chemistry; prebiotic synthesis/source module | ChemOrigins pbr-000734; 10.1038/nature08013; Synthesis of activated pyrimidine ribonucleotides in prebiotically plausible conditions; https://chemorigins.bact.wisc.edu/reactions/pbr-000734 | source_database
