# Literature-backed prebiotic reaction network v1.
# Focus: non-hydrothermal cyanosulfidic / HCN chemistry for Earth-like prebiotic evolution.
# Hydrothermal peptide/FeNiS reactions should remain in the hydro_vent environment module.
# Columns: ID | MODULE | REACTION | CATALYST_OR_CONTROL | RATE_TEMPLATE | ROLE | REFS | CONFIDENCE
PBV1-001 | cyanosulfidic_feedstock | H2CO + HCN -> glycolonitrile | aqueous cyanide addition | addition | cyanohydrin entry point | ChemOrigins pbr-000032; Patel et al. 2015 10.1038/nchem.2202 | medium
PBV1-019 | amino_acid_precursors | serine_nitrile + 2 H2O -> serine + NH3 | hydrolysis | hydrolysis | amino acid product | Ritson & Sutherland 2012 10.1038/nchem.1467; Patel et al. 2015 10.1038/nchem.2202 | medium
PBV1-020 | amino_acid_precursors | threonine_nitrile + 2 H2O -> threonine + NH3 | hydrolysis | hydrolysis | amino acid product | Patel et al. 2015 10.1038/nchem.2202 | medium
PBV1-021 | hcn_purines | HCN + HCN -> iminoacetonitrile | aqueous HCN oligomerization | oligomerization | HCN dimer / adenine precursor | Oro & Kimball 1961 10.1016/0003-9861(61)90033-9; Oro 1961 10.1038/1911193a0 | medium
PBV1-022 | hcn_purines | iminoacetonitrile + HCN -> aminomalononitrile | aqueous HCN oligomerization | addition | HCN trimer precursor | Oro 1961 10.1038/1911193a0 | medium
PBV1-023 | hcn_purines | aminomalononitrile + HCN -> diaminomaleonitrile | aqueous HCN oligomerization | addition | DAMN precursor | Oro 1961 10.1038/1911193a0 | medium
PBV1-024 | hcn_purines | diaminomaleonitrile + hnu -> diaminofumaronitrile | UV | photoisomerization | HCN tetramer isomerization | Oro chemistry review; Patel et al. 2015 context | low
PBV1-025 | hcn_purines | diaminomaleonitrile + HCN -> aminoimidazole_carbonitrile | heat/UV | cyclization | AICN purine precursor | Oro 1961 10.1038/1911193a0 | medium
PBV1-026 | hcn_purines | 5 HCN -> adenine | concentrated aqueous HCN/NH3 | net_oligomerization | purine product | Oro & Kimball 1961 10.1016/0003-9861(61)90033-9 | high
PBV1-027 | pyrimidine_ribonucleotide | glycolaldehyde + cyanamide -> 2-aminooxazole | phosphate compatible aqueous chemistry | condensation | activated pyrimidine pathway precursor | Powner et al. 2009 10.1038/nature08013 | high
PBV1-028 | pyrimidine_ribonucleotide | 2-aminooxazole + glyceraldehyde -> pentose_aminooxazoline | phosphate compatible aqueous chemistry | addition/cyclization | ribonucleotide sugar-base precursor | Powner et al. 2009 10.1038/nature08013 | high
PBV1-029 | pyrimidine_ribonucleotide | pentose_aminooxazoline + cyanoacetylene -> anhydronucleoside | aqueous cyanoacetylene addition | addition | pyrimidine nucleoside precursor | Powner et al. 2009 10.1038/nature08013 | high
PBV1-030 | pyrimidine_ribonucleotide | anhydronucleoside + phosphate -> activated_pyrimidine_ribonucleotide | phosphate | phosphorylation | RNA precursor | Powner et al. 2009 10.1038/nature08013 | high
PBV1-031 | lipid_precursors | glyceraldehyde + hnu + HS- -> glycerol_derivative | Cu(I)/Cu(II) photoredox | photoreduction | lipid-headgroup precursor branch | Patel et al. 2015 10.1038/nchem.2202 | low
PBV1-032 | lipid_precursors | acetaldehyde + glycolonitrile -> lipid_precursor_pool | cyanosulfidic network | lumped_synthesis | lipid precursor branch | Patel et al. 2015 10.1038/nchem.2202 | low
PBV1-033 | network_coupling | HCN + H2CO + HS- + hnu -> amino_acid_precursor_pool | Cu(I)/Cu(II) photoredox | lumped_branch | protein precursor subsystem | Patel et al. 2015 10.1038/nchem.2202 | medium
PBV1-034 | network_coupling | HCN + H2CO + cyanamide + phosphate -> ribonucleotide_precursor_pool | phosphate; UV-compatible chemistry | lumped_branch | informational precursor subsystem | Powner et al. 2009 10.1038/nature08013; Patel et al. 2015 10.1038/nchem.2202 | medium
PBV1-035 | network_coupling | HCN + H2CO + HS- + phosphate + hnu -> lipid_precursor_pool | Cu(I)/Cu(II) photoredox | lumped_branch | compartment precursor subsystem | Patel et al. 2015 10.1038/nchem.2202 | low
