reaction_id,section,reaction_type,reactants,products,catalysts,conditions,rate_law,k_uncatalyzed,k_catalyzed,catalysis_probability,autocatalytic_role,source_hint
"R074","mineral_redox_catalysis","surface_activation","NiS ; CO ; CH3-SH","NiS-acetyl_complex","NiS","K09","mass_action","1.0e-8","1.0e-4","0.01","acetyl activation","mineral_surface"
"R075","mineral_redox_catalysis","product_release","NiS-acetyl_complex ; HS-","thioacetate ; NiS","NiS","K09","mass_action","1.0e-8","1.0e-4","0.01","catalytic turnover","acetyl_loop"
"R076","mineral_redox_catalysis","product_release","FeS-CO-SH_complex ; H2O","formate ; FeS ; HS-","FeS","K09","mass_action","1.0e-8","1.0e-4","0.01","catalytic turnover","C1_fixation"
"R077","mineral_redox_catalysis","redox","FeS ; H2O","FeOOH ; H2S ; e-","mineral ; redox","K09","mass_action","1.0e-8","1.0e-4","0.01","redox disequilibrium","geochemical_coupling"
"R078","mineral_redox_catalysis","redox","FeOOH ; H2S","FeS ; H2O","mineral ; redox","K09","mass_action","1.0e-8","1.0e-4","0.01","regenerates FeS","geochemical_coupling"
"R079","autocatalytic_closure","catalyzed_Strecker","H2CO ; HCN ; NH3 ; glycylglycine","glycinonitrile ; H2O ; glycylglycine","glycylglycine","K10","mass_action","1.0e-8","1.0e-4","0.01","peptide-catalyzed glycine precursor production","explicit_closure"
"R080","autocatalytic_closure","catalyzed_hydrolysis","glycinonitrile ; 2 H2O ; glycylglycine","glycine ; NH3 ; glycylglycine","glycylglycine","K10","mass_action","1.0e-8","1.0e-4","0.01","peptide-catalyzed amino acid production","explicit_closure"
"R081","autocatalytic_closure","catalyzed_activation","acetate ; HS- ; acetyl_phosphate ; glycylalanine","thioacetate ; phosphate ; glycylalanine","glycylalanine","K10","mass_action","1.0e-8","1.0e-4","0.01","peptide-catalyzed thioester regeneration","explicit_closure"
"R082","autocatalytic_closure","catalyzed_ligation","glycine ; glycine ; thioacetate ; glycylglycine","glycylglycine ; acetate ; H2S ; glycylglycine","glycylglycine","K10","mass_action","1.0e-8","1.0e-4","0.01","product-catalyzed production of same peptide","explicit_autocatalysis"
"R083","autocatalytic_closure","catalyzed_ligation","glycine ; alanine ; thioacetate ; glycylalanine","glycylalanine ; acetate ; H2S ; glycylalanine","glycylalanine","K10","mass_action","1.0e-8","1.0e-4","0.01","product-catalyzed production of same peptide","explicit_autocatalysis"
"R084","autocatalytic_closure","surface_complexation","glycylglycine ; FeS","glycylglycine_FeS_complex","FeS","K10","mass_action","1.0e-8","1.0e-4","0.01","peptide-mineral catalyst formation","surface_autocatalysis"
"R085","autocatalytic_closure","surface_catalyzed_carbonylation","CO ; CH3-SH ; glycylglycine_FeS_complex","thioacetate ; glycylglycine_FeS_complex","glycylglycine_FeS_complex","K10","mass_action","1.0e-8","1.0e-4","0.01","peptide-mineral complex regenerates activated acetyl species","explicit_RAF_closure"
