reaction_id	reaction_smiles	reactants	products	reactant_formulas	product_formulas	reactant_smiles	product_smiles	condition_id	temperature	time	pH	pressure	agents	source_doi	source_title	source_authors	source_year	modules	module_names	chemorigins_url
pbr-000009	O=C([O-])CC(O)C(=O)[O-]>>O=C(O)CC(=O)C(=O)O	(S)-Malate	Oxaloacetate	C4H6O5	C4H4O5	C(C(C(=O)O)O)C(=O)O	C(C(=O)C(=O)O)C(=O)O	pbc-000008	70.0				Ferrous iron	10.1038/s41586-019-1151-1	Synthesis and breakdown of universal metabolic precursors promoted by iron	Muchowska K,Varma S,Moran J	2019			https://chemorigins.bact.wisc.edu/reactions/pbr-000009
pbr-000010	O=C(O)CC(=O)C(=O)O>>CC(=O)C(=O)[O-].O=C=O	Oxaloacetate	CO2 + Pyruvate	C4H4O5	CO2 + C3H4O3	C(C(=O)C(=O)O)C(=O)O	C(=O)=O + CC(=O)C(=O)O	pbc-000009	70.0				Ferrous iron	10.1038/s41586-019-1151-1	Synthesis and breakdown of universal metabolic precursors promoted by iron	Muchowska K,Varma S,Moran J	2019	pbmdl-000001	Alanine-synthesis	https://chemorigins.bact.wisc.edu/reactions/pbr-000010
pbr-000011	O=C(O)C(=O)CC(O)C(=O)O.O>>O=C([O-])CC(O)C(=O)[O-].O=C=O	H2O + 4-hydroxy-2-oxoglutaric acid	CO2 + (S)-Malate	H2O + C5H6O6	CO2 + C4H6O5	O + C(C(C(=O)O)O)C(=O)C(=O)O	C(=O)=O + C(C(C(=O)O)O)C(=O)O	pbc-000010	70.0				Ferrous iron	10.1038/s41586-019-1151-1	Synthesis and breakdown of universal metabolic precursors promoted by iron	Muchowska K,Varma S,Moran J	2019			https://chemorigins.bact.wisc.edu/reactions/pbr-000011
pbr-000012	O=C(O)C=CC(=O)C(=O)O.O>>O=C([O-])/C=C/C(=O)[O-].O=C=O	H2O + 4-oxopent-2-enedioic acid	CO2 + Fumarate	H2O + C5H4O5	CO2 + C4H4O4	O + C(=CC(=O)O)C(=O)C(=O)O	C(=O)=O + C(=CC(=O)O)C(=O)O	pbc-000011	70.0				Ferrous iron	10.1038/s41586-019-1151-1	Synthesis and breakdown of universal metabolic precursors promoted by iron	Muchowska K,Varma S,Moran J	2019			https://chemorigins.bact.wisc.edu/reactions/pbr-000012
pbr-000013	O=C(O)CCC(=O)C(=O)O.O>>O=C([O-])CCC(=O)[O-].O=C=O	H2O + 2-Oxoglutarate	CO2 + Succinate	H2O + C5H6O5	CO2 + C4H6O4	O + C(CC(=O)O)C(=O)C(=O)O	C(=O)=O + C(CC(=O)O)C(=O)O	pbc-000012	70.0				Ferrous iron	10.1038/s41586-019-1151-1	Synthesis and breakdown of universal metabolic precursors promoted by iron	Muchowska K,Varma S,Moran J	2019			https://chemorigins.bact.wisc.edu/reactions/pbr-000013
pbr-000014	O=C(O)CC(C(=O)O)C(O)C(=O)O>>O=C(O)C=C(CC(=O)O)C(=O)O.O	Isocitrate	H2O + cis-Aconitate	C6H8O7	H2O + C6H6O6	C(C(C(C(=O)O)O)C(=O)O)C(=O)O	O + C(C(=CC(=O)O)C(=O)O)C(=O)O	pbc-000013	70.0				Ferrous iron	10.1038/s41586-019-1151-1	Synthesis and breakdown of universal metabolic precursors promoted by iron	Muchowska K,Varma S,Moran J	2019			https://chemorigins.bact.wisc.edu/reactions/pbr-000014
pbr-000015	O.[O-]C(=O)CC(=CC([O-])=O)C([O-])=O>>OC(CC([O-])=O)(CC([O-])=O)C([O-])=O	cis-Aconitate + H2O	Citrate	C6H6O6 + H2O	C6H8O7	C(C(=CC(=O)O)C(=O)O)C(=O)O + O	C(C(=O)O)C(CC(=O)O)(C(=O)O)O	pbc-000014	70.0				Ferrous iron	10.1038/s41586-019-1151-1	Synthesis and breakdown of universal metabolic precursors promoted by iron	Muchowska K,Varma S,Moran J	2019			https://chemorigins.bact.wisc.edu/reactions/pbr-000015
pbr-000016	O=C(O)C=C(CC(=O)O)C(=O)O>>O=C(O)CC(CC(=O)O)C(=O)O	cis-Aconitate	tricarballylic acid	C6H6O6	C6H8O6	C(C(=CC(=O)O)C(=O)O)C(=O)O	C(C(CC(=O)O)C(=O)O)C(=O)O	pbc-000015	70.0				Ferrous iron	10.1038/s41586-019-1151-1	Synthesis and breakdown of universal metabolic precursors promoted by iron	Muchowska K,Varma S,Moran J	2019			https://chemorigins.bact.wisc.edu/reactions/pbr-000016
pbr-000017	O=C([O-])CC(=O)[O-].O=CC(=O)[O-]>>O=C(O)C(O)C(C(=O)O)C(=O)O	Glyoxylate + malonic acid	2-hydroxyethane-1,1,2-tricarboxylic acid	C2H2O3 + C3H4O4	C5H6O7	C(=O)C(=O)O + C(C(=O)O)C(=O)O	C(C(C(=O)O)O)(C(=O)O)C(=O)O	pbc-000016	70.0				Ferrous iron	10.1038/s41586-019-1151-1	Synthesis and breakdown of universal metabolic precursors promoted by iron	Muchowska K,Varma S,Moran J	2019			https://chemorigins.bact.wisc.edu/reactions/pbr-000017
pbr-000018	O=C(O)C(O)C(C(=O)O)C(=O)O>>O=C([O-])CC(O)C(=O)O.O=C=O	2-hydroxyethane-1,1,2-tricarboxylic acid	CO2 + (S)-Malate	C5H6O7	CO2 + C4H6O5	C(C(C(=O)O)O)(C(=O)O)C(=O)O	C(=O)=O + C(C(C(=O)O)O)C(=O)O	pbc-000017	70.0				Ferrous iron	10.1038/s41586-019-1151-1	Synthesis and breakdown of universal metabolic precursors promoted by iron	Muchowska K,Varma S,Moran J	2019			https://chemorigins.bact.wisc.edu/reactions/pbr-000018
pbr-000019	CC(=O)C(=O)[O-].O>>CC(=O)[O-].O=C=O	H2O + Pyruvate	CO2 + Acetate	H2O + C3H4O3	CO2 + C2H4O2	O + CC(=O)C(=O)O	C(=O)=O + CC(=O)O	pbc-000018	70.0				Ferrous iron	10.1038/s41586-019-1151-1	Synthesis and breakdown of universal metabolic precursors promoted by iron	Muchowska K,Varma S,Moran J	2019			https://chemorigins.bact.wisc.edu/reactions/pbr-000019
pbr-000020	O=CC(=O)[O-].O>>O=C[O-].O=C=O	H2O + Glyoxylate	CO2 + Formate	H2O + C2H2O3	CO2 + CH2O2	O + C(=O)C(=O)O	C(=O)=O + C(=O)O	pbc-000019	70.0				Ferrous iron	10.1038/s41586-019-1151-1	Synthesis and breakdown of universal metabolic precursors promoted by iron	Muchowska K,Varma S,Moran J	2019			https://chemorigins.bact.wisc.edu/reactions/pbr-000020
pbr-000021	O=CC(=O)[O-]>>O=C(O)CO	Glyoxylate	glycolic acid	C2H2O3	C2H4O3	C(=O)C(=O)O	C(C(=O)O)O	pbc-000276		1.0				10.1126/sciadv.abh3981	A cyanosulfidic origin of the Krebs cycle	Ritson D	2021	pbmdl-000003	Glycine-synthesis	https://chemorigins.bact.wisc.edu/reactions/pbr-000021
pbr-000021	O=CC(=O)[O-]>>O=C(O)CO	Glyoxylate	glycolic acid	C2H2O3	C2H4O3	C(=O)C(=O)O	C(C(=O)O)O	pbc-000020	70.0				Ferrous iron	10.1038/s41586-019-1151-1	Synthesis and breakdown of universal metabolic precursors promoted by iron	Muchowska K,Varma S,Moran J	2019	pbmdl-000003	Glycine-synthesis	https://chemorigins.bact.wisc.edu/reactions/pbr-000021
pbr-000022	O=CC(=O)[O-]>>O=C([O-])C(=O)[O-]	Glyoxylate	oxalic acid	C2H2O3	C2H2O4	C(=O)C(=O)O	C(=O)(C(=O)O)O	pbc-000022	70.0				Ferrous iron	10.1038/s41586-019-1151-1	Synthesis and breakdown of universal metabolic precursors promoted by iron	Muchowska K,Varma S,Moran J	2019			https://chemorigins.bact.wisc.edu/reactions/pbr-000022
pbr-000022	O=CC(=O)[O-]>>O=C([O-])C(=O)[O-]	Glyoxylate	oxalic acid	C2H2O3	C2H2O4	C(=O)C(=O)O	C(=O)(C(=O)O)O	pbc-000021	70.0				Ferrous iron	10.1038/s41586-019-1151-1	Synthesis and breakdown of universal metabolic precursors promoted by iron	Muchowska K,Varma S,Moran J	2019			https://chemorigins.bact.wisc.edu/reactions/pbr-000022
pbr-000023	O=C([O-])C(=O)[O-]>>O=C=O.O=C=O	oxalic acid	CO2	C2H2O4	CO2	C(=O)(C(=O)O)O	C(=O)=O	pbc-000023	70.0				Ferrous iron	10.1038/s41586-019-1151-1	Synthesis and breakdown of universal metabolic precursors promoted by iron	Muchowska K,Varma S,Moran J	2019			https://chemorigins.bact.wisc.edu/reactions/pbr-000023
pbr-000025	CC(=O)C(=O)[O-].NO>>CC(N)C(=O)O.O.O	hydroxylamine + Pyruvate	H2O + L-Alanine	H3NO + C3H4O3	H2O + C3H7NO2	NO + CC(=O)C(=O)O	O + CC(C(=O)O)N	pbc-000025	70.0				Elemental Iron; Ferrous iron	10.1038/s41586-019-1151-1	Synthesis and breakdown of universal metabolic precursors promoted by iron	Muchowska K,Varma S,Moran J	2019	pbmdl-000001	Alanine-synthesis	https://chemorigins.bact.wisc.edu/reactions/pbr-000025
pbr-000026	O=C(O)CCC(=O)C(=O)O.NO>>NC(CCC(=O)O)C(=O)O.O.O	hydroxylamine + 2-Oxoglutarate	H2O + L-Glutamate	H3NO + C5H6O5	H2O + C5H9NO4	NO + C(CC(=O)O)C(=O)C(=O)O	O + C(CC(=O)O)C(C(=O)O)N	pbc-000026	70.0				Elemental Iron; Ferrous iron	10.1038/s41586-019-1151-1	Synthesis and breakdown of universal metabolic precursors promoted by iron	Muchowska K,Varma S,Moran J	2019	pbmdl-000004	Glutamate-synthesis	https://chemorigins.bact.wisc.edu/reactions/pbr-000026
pbr-000027	O=CC(=O)[O-].NO>>NCC(=O)O.O.O	hydroxylamine + Glyoxylate	H2O + Glycine	H3NO + C2H2O3	H2O + C2H5NO2	NO + C(=O)C(=O)O	O + C(C(=O)O)N	pbc-000027	70.0				Elemental Iron; Ferrous iron	10.1038/s41586-019-1151-1	Synthesis and breakdown of universal metabolic precursors promoted by iron	Muchowska K,Varma S,Moran J	2019	pbmdl-000003	Glycine-synthesis	https://chemorigins.bact.wisc.edu/reactions/pbr-000027
pbr-000028	O=C(O)CC(=O)C(=O)O.NO>>NC(CC(=O)O)C(=O)O.O.O	hydroxylamine + Oxaloacetate	H2O + L-Aspartate	H3NO + C4H4O5	H2O + C4H7NO4	NO + C(C(=O)C(=O)O)C(=O)O	O + C(C(C(=O)O)N)C(=O)O	pbc-000028	70.0				Elemental Iron; Ferrous iron	10.1038/s41586-019-1151-1	Synthesis and breakdown of universal metabolic precursors promoted by iron	Muchowska K,Varma S,Moran J	2019			https://chemorigins.bact.wisc.edu/reactions/pbr-000028
pbr-000029	N.O=C[O-]>>NC=O.O	Formate + Ammonia	H2O + formamide	CH2O2 + H3N	H2O + CH3NO	C(=O)O + N	O + C(=O)N	pbc-000029						10.1038/nchem.2202	Common origins of RNA, protein and lipid precursors in a cyanosulfidic protometabolism	Patel B,Percivalle C,Ritson D,Duffy C,Sutherland J	2015			https://chemorigins.bact.wisc.edu/reactions/pbr-000029
pbr-000030	C#N.O>>NC=O	H2O + hydrogen cyanide	formamide	H2O + CHN	CH3NO	O + C#N	C(=O)N	pbc-000030						10.1038/nchem.2202	Common origins of RNA, protein and lipid precursors in a cyanosulfidic protometabolism	Patel B,Percivalle C,Ritson D,Duffy C,Sutherland J	2015			https://chemorigins.bact.wisc.edu/reactions/pbr-000030
pbr-000031	C#N.O.S.S>>C=O.N.SS	hydrogen sulfide + H2O + hydrogen cyanide	disulfane + Ammonia + Formaldehyde	H2S + H2O + CHN	H2S2 + H3N + CH2O	S + O + C#N	SS + N + C=O	pbc-000031					Sulfidic acid; Elemental cupper	10.1038/nchem.2202	Common origins of RNA, protein and lipid precursors in a cyanosulfidic protometabolism	Patel B,Percivalle C,Ritson D,Duffy C,Sutherland J	2015			https://chemorigins.bact.wisc.edu/reactions/pbr-000031
pbr-000032	C=O.C#N>>N#CCO	hydrogen cyanide + Formaldehyde	glycolonitrile	CHN + CH2O	C2H3NO	C#N + C=O	C(C#N)O	pbc-000355					Sodium; Chloride	10.1073/pnas.1922139117	A continuous reaction network that produces RNA precursors	Yi R,Tran Q,Ali S,Yoda I,Adam Z,Cleaves H,Fahrenbach A	2020			https://chemorigins.bact.wisc.edu/reactions/pbr-000032
pbr-000032	C=O.C#N>>N#CCO	hydrogen cyanide + Formaldehyde	glycolonitrile	CHN + CH2O	C2H3NO	C#N + C=O	C(C#N)O	pbc-000289					Ferrous sulifde	10.1038/s41467-018-04147-2	Mimicking the surface and prebiotic chemistry of early Earth using flow chemistry	Ritson D,Battilocchio C,Ley S,Sutherland J	2018			https://chemorigins.bact.wisc.edu/reactions/pbr-000032
pbr-000032	C=O.C#N>>N#CCO	hydrogen cyanide + Formaldehyde	glycolonitrile	CHN + CH2O	C2H3NO	C#N + C=O	C(C#N)O	pbc-000032						10.1038/nchem.2202	Common origins of RNA, protein and lipid precursors in a cyanosulfidic protometabolism	Patel B,Percivalle C,Ritson D,Duffy C,Sutherland J	2015			https://chemorigins.bact.wisc.edu/reactions/pbr-000032
pbr-000033	N#CCO.N>>N#CCN.O	Ammonia + glycolonitrile	H2O + aminoacetonitrile	H3N + C2H3NO	H2O + C2H4N2	N + C(C#N)O	O + C(C#N)N	pbc-000033						10.1038/nchem.2202	Common origins of RNA, protein and lipid precursors in a cyanosulfidic protometabolism	Patel B,Percivalle C,Ritson D,Duffy C,Sutherland J	2015			https://chemorigins.bact.wisc.edu/reactions/pbr-000033
pbr-000034	N#CCO.O>>O=CCO.N	H2O + glycolonitrile	Ammonia + Glycolaldehyde	H2O + C2H3NO	H3N + C2H4O2	O + C(C#N)O	N + C(C=O)O	pbc-000356					Sodium; Chloride	10.1073/pnas.1922139117	A continuous reaction network that produces RNA precursors	Yi R,Tran Q,Ali S,Yoda I,Adam Z,Cleaves H,Fahrenbach A	2020			https://chemorigins.bact.wisc.edu/reactions/pbr-000034
pbr-000034	N#CCO.O>>O=CCO.N	H2O + glycolonitrile	Ammonia + Glycolaldehyde	H2O + C2H3NO	H3N + C2H4O2	O + C(C#N)O	N + C(C=O)O	pbc-000290	100.0				Nickel cation; Ferrous iron	10.1038/s41467-018-04147-2	Mimicking the surface and prebiotic chemistry of early Earth using flow chemistry	Ritson D,Battilocchio C,Ley S,Sutherland J	2018			https://chemorigins.bact.wisc.edu/reactions/pbr-000034
pbr-000034	N#CCO.O>>O=CCO.N	H2O + glycolonitrile	Ammonia + Glycolaldehyde	H2O + C2H3NO	H3N + C2H4O2	O + C(C#N)O	N + C(C=O)O	pbc-000034						10.1038/nchem.2202	Common origins of RNA, protein and lipid precursors in a cyanosulfidic protometabolism	Patel B,Percivalle C,Ritson D,Duffy C,Sutherland J	2015			https://chemorigins.bact.wisc.edu/reactions/pbr-000034
pbr-000035	O=CCO.C#N>>N#CC(O)CO	hydrogen cyanide + Glycolaldehyde	2,3-dihydroxypropanenitrile	CHN + C2H4O2	C3H5NO2	C#N + C(C=O)O	C(C(C#N)O)O	pbc-000035						10.1038/nchem.2202	Common origins of RNA, protein and lipid precursors in a cyanosulfidic protometabolism	Patel B,Percivalle C,Ritson D,Duffy C,Sutherland J	2015			https://chemorigins.bact.wisc.edu/reactions/pbr-000035
pbr-000036	N#CC(O)CO.O.S.S>>O=CC(O)CO.N.SS	hydrogen sulfide + H2O + 2,3-dihydroxypropanenitrile	disulfane + Ammonia + glyceraldehyde	H2S + H2O + C3H5NO2	H2S2 + H3N + C3H6O3	S + O + C(C(C#N)O)O	SS + N + C(C(C=O)O)O	pbc-000036					Sulfidic acid; Elemental cupper	10.1038/nchem.2202	Common origins of RNA, protein and lipid precursors in a cyanosulfidic protometabolism	Patel B,Percivalle C,Ritson D,Duffy C,Sutherland J	2015			https://chemorigins.bact.wisc.edu/reactions/pbr-000036
pbr-000037	O=CCO>>CC=O.O	Glycolaldehyde	H2O + Acetaldehyde	C2H4O2	H2O + C2H4O	C(C=O)O	O + CC=O	pbc-000037						10.1038/nchem.2202	Common origins of RNA, protein and lipid precursors in a cyanosulfidic protometabolism	Patel B,Percivalle C,Ritson D,Duffy C,Sutherland J	2015			https://chemorigins.bact.wisc.edu/reactions/pbr-000037
pbr-000038	CC=O.C#N>>CC(O)C#N	hydrogen cyanide + Acetaldehyde	lactonitrile	CHN + C2H4O	C3H5NO	C#N + CC=O	CC(C#N)O	pbc-000058						10.1038/nchem.2202	Common origins of RNA, protein and lipid precursors in a cyanosulfidic protometabolism	Patel B,Percivalle C,Ritson D,Duffy C,Sutherland J	2015			https://chemorigins.bact.wisc.edu/reactions/pbr-000038
pbr-000038	CC=O.C#N>>CC(O)C#N	hydrogen cyanide + Acetaldehyde	lactonitrile	CHN + C2H4O	C3H5NO	C#N + CC=O	CC(C#N)O	pbc-000057						10.1038/nchem.2202	Common origins of RNA, protein and lipid precursors in a cyanosulfidic protometabolism	Patel B,Percivalle C,Ritson D,Duffy C,Sutherland J	2015			https://chemorigins.bact.wisc.edu/reactions/pbr-000038
pbr-000038	CC=O.C#N>>CC(O)C#N	hydrogen cyanide + Acetaldehyde	lactonitrile	CHN + C2H4O	C3H5NO	C#N + CC=O	CC(C#N)O	pbc-000056						10.1038/nchem.2202	Common origins of RNA, protein and lipid precursors in a cyanosulfidic protometabolism	Patel B,Percivalle C,Ritson D,Duffy C,Sutherland J	2015			https://chemorigins.bact.wisc.edu/reactions/pbr-000038
pbr-000038	CC=O.C#N>>CC(O)C#N	hydrogen cyanide + Acetaldehyde	lactonitrile	CHN + C2H4O	C3H5NO	C#N + CC=O	CC(C#N)O	pbc-000038						10.1038/nchem.2202	Common origins of RNA, protein and lipid precursors in a cyanosulfidic protometabolism	Patel B,Percivalle C,Ritson D,Duffy C,Sutherland J	2015			https://chemorigins.bact.wisc.edu/reactions/pbr-000038
pbr-000039	CC(O)C#N.N>>CC(N)C#N.O	Ammonia + lactonitrile	H2O + 2-aminopropanenitrile	H3N + C3H5NO	H2O + C3H6N2	N + CC(C#N)O	O + CC(C#N)N	pbc-000039						10.1038/nchem.2202	Common origins of RNA, protein and lipid precursors in a cyanosulfidic protometabolism	Patel B,Percivalle C,Ritson D,Duffy C,Sutherland J	2015			https://chemorigins.bact.wisc.edu/reactions/pbr-000039
pbr-000040	CC(O)C#N.O.S.S>>CC(O)C=O.N.SS	hydrogen sulfide + H2O + lactonitrile	disulfane + Ammonia + lactaldehyde	H2S + H2O + C3H5NO	H2S2 + H3N + C3H6O2	S + O + CC(C#N)O	SS + N + CC(C=O)O	pbc-000040					Sulfidic acid; Elemental cupper	10.1038/nchem.2202	Common origins of RNA, protein and lipid precursors in a cyanosulfidic protometabolism	Patel B,Percivalle C,Ritson D,Duffy C,Sutherland J	2015			https://chemorigins.bact.wisc.edu/reactions/pbr-000040
pbr-000041	CC(O)C=O.C#N>>CC(O)CC(O)C#N	hydrogen cyanide + lactaldehyde	pbm-000045	CHN + C3H6O2	C5H9NO2	C#N + CC(C=O)O	CC(O)CC(O)C#N	pbc-000041						10.1038/nchem.2202	Common origins of RNA, protein and lipid precursors in a cyanosulfidic protometabolism	Patel B,Percivalle C,Ritson D,Duffy C,Sutherland J	2015	pbmdl-000007	Threonine-synthesis	https://chemorigins.bact.wisc.edu/reactions/pbr-000041
pbr-000042	CC(O)CC(O)C#N.N>>CC(O)C(N)C#N.O	Ammonia + pbm-000045	H2O + 2-amino-3-hydroxybutanenitrile	H3N + C5H9NO2	H2O + C4H8N2O	N + CC(O)CC(O)C#N	O + CC(C(C#N)N)O	pbc-000042						10.1038/nchem.2202	Common origins of RNA, protein and lipid precursors in a cyanosulfidic protometabolism	Patel B,Percivalle C,Ritson D,Duffy C,Sutherland J	2015	pbmdl-000007	Threonine-synthesis	https://chemorigins.bact.wisc.edu/reactions/pbr-000042
pbr-000043	N#CN.O=CCO>>Nc1ncco1	Glycolaldehyde + cyanamide	1,3-oxazol-2-amine	C2H4O2 + CH2N2	C3H4N2O	C(C=O)O + C(#N)N	C1=COC(=N1)N	pbc-000294					Ca(OH)2	10.1038/s41467-018-04147-2	Mimicking the surface and prebiotic chemistry of early Earth using flow chemistry	Ritson D,Battilocchio C,Ley S,Sutherland J	2018	pbmdl-000010	Oxazole pathway	https://chemorigins.bact.wisc.edu/reactions/pbr-000043
pbr-000043	N#CN.O=CCO>>Nc1ncco1	Glycolaldehyde + cyanamide	1,3-oxazol-2-amine	C2H4O2 + CH2N2	C3H4N2O	C(C=O)O + C(#N)N	C1=COC(=N1)N	pbc-000228	60.0	3.0			Phosphate	10.1038/nature08013	Synthesis of activated pyrimidine ribonucleotides in prebiotically plausible conditions	Powner M,Gerland B,Sutherland J	2009	pbmdl-000010	Oxazole pathway	https://chemorigins.bact.wisc.edu/reactions/pbr-000043
pbr-000043	N#CN.O=CCO>>Nc1ncco1	Glycolaldehyde + cyanamide	1,3-oxazol-2-amine	C2H4O2 + CH2N2	C3H4N2O	C(C=O)O + C(#N)N	C1=COC(=N1)N	pbc-000223	40.0				Sodium hydroxyide	10.1055/s-1976-24127	An Improved Synthesis of 2-Amino-1,3-oxazoles under Basic Catalysis	COCKERILL A,DEACON A,HARRISON R,OSBORNE D,PRIME D,ROSS W,TODD A,VERGE J	1976	pbmdl-000010	Oxazole pathway	https://chemorigins.bact.wisc.edu/reactions/pbr-000043
pbr-000043	N#CN.O=CCO>>Nc1ncco1	Glycolaldehyde + cyanamide	1,3-oxazol-2-amine	C2H4O2 + CH2N2	C3H4N2O	C(C=O)O + C(#N)N	C1=COC(=N1)N	pbc-000044						10.1038/nchem.2202	Common origins of RNA, protein and lipid precursors in a cyanosulfidic protometabolism	Patel B,Percivalle C,Ritson D,Duffy C,Sutherland J	2015	pbmdl-000010	Oxazole pathway	https://chemorigins.bact.wisc.edu/reactions/pbr-000043
