# Titan liquid/surface/polymerization reaction network.
# Converted from titan_polymerization_catalysis_module_v0.txt to the common pipe format.
# Phase tags are intentionally preserved: (aer), (sol), (s), (aq).
# Photon notation normalized from hv to hnu.
# Columns: ID | MODULE | REACTION | CATALYST_OR_CONTROL | RATE_TEMPLATE | ROLE | REFS | CONFIDENCE

TS0001 | titan_aerosol_polymerization_surface | C2H2(aer) + tholin* + hnu -> C2H(aer) + H(aer) + tholin* | aerosol/surface_catalytic/photo | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:P001 | medium
TS0047 | titan_lake_c2h6_rich_polymerization_surface | P_C2H2_3(sol) + C2H2(sol) + tholin* -> P_C2H2_4(sol) + tholin* | lake_c2h6_rich/surface_catalytic | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:S004 | medium
TS0048 | titan_lake_c2h6_rich_polymerization_surface | P_C2H2_4(sol) + C2H2(sol) + tholin* -> P_C2H2_long(sol) + tholin* | lake_c2h6_rich/surface_catalytic | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:S005 | medium
TS0049 | titan_lake_c2h6_rich_polymerization_surface | HCN(sol) + HCN(sol) + tholin* -> P_HCN_2(sol) + tholin* | lake_c2h6_rich/surface_catalytic | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:S006 | medium
TS0050 | titan_lake_c2h6_rich_polymerization_surface | P_HCN_2(sol) + HCN(sol) + tholin* -> P_HCN_3(sol) + tholin* | lake_c2h6_rich/surface_catalytic | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:S007 | medium
TS0051 | titan_lake_c2h6_rich_polymerization_surface | P_HCN_3(sol) + HCN(sol) + tholin* -> P_HCN_long(sol) + tholin* | lake_c2h6_rich/surface_catalytic | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:S008 | medium
TS0052 | titan_lake_c2h6_rich_polymerization_surface | CN(sol) + C2H2(sol) -> HC3N(sol) + H(sol) | lake_c2h6_rich | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:S009 | medium
TS0053 | titan_lake_c2h6_rich_polymerization_surface | HC3N(sol) + HCN(sol) + tholin* -> P_CN_2(sol) + tholin* | lake_c2h6_rich/surface_catalytic | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:S010 | medium
TS0054 | titan_lake_c2h6_rich_polymerization_surface | P_CN_2(sol) + HC3N(sol) + tholin* -> P_CN_long(sol) + tholin* | lake_c2h6_rich/surface_catalytic | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:S011 | medium
TS0055 | titan_evaporite_polymerization_surface | HCN(s) + HCN(s) + mineral* -> P_HCN_2(s) + mineral* | evaporite/surface_catalytic | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:T001 | medium
TS0056 | titan_evaporite_polymerization_surface | P_HCN_2(s) + HCN(s) + mineral* -> P_HCN_3(s) + mineral* | evaporite/surface_catalytic | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:T002 | medium
TS0057 | titan_evaporite_polymerization_surface | P_HCN_3(s) + HCN(s) + mineral* -> P_HCN_long(s) + mineral* | evaporite/surface_catalytic | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:T003 | medium
TS0058 | titan_evaporite_polymerization_surface | C2H2(s) + C2H2(s) + mineral* + hnu -> C4H2(s) + H2(s) + mineral* | evaporite/surface_catalytic/photo | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:T004 | medium
TS0059 | titan_evaporite_polymerization_surface | C4H2(s) + C2H2(s) + mineral* -> P_C2H2_3(s) + mineral* | evaporite/surface_catalytic | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:T005 | medium
TS0060 | titan_evaporite_polymerization_surface | P_C2H2_3(s) + C2H2(s) + mineral* -> P_C2H2_long(s) + mineral* | evaporite/surface_catalytic | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:T006 | medium
TS0061 | titan_evaporite_polymerization_surface | HCN(s) + C2H2(s) + mineral* + hnu -> HC3N(s) + H2(s) + mineral* | evaporite/surface_catalytic/photo | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:T007 | medium
TS0062 | titan_evaporite_polymerization_surface | HC3N(s) + HCN(s) + mineral* -> P_CN_2(s) + mineral* | evaporite/surface_catalytic | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:T008 | medium
TS0063 | titan_evaporite_polymerization_surface | P_CN_2(s) + HC3N(s) + mineral* -> P_CN_long(s) + mineral* | evaporite/surface_catalytic | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:T009 | medium
TS0064 | titan_evaporite_polymerization_surface | tholin(s) + hnu -> tholin*(s) | evaporite/surface_catalytic/photo | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:T010 | medium
TS0065 | titan_evaporite_polymerization_surface | tholin*(s) + HCN(s) -> nitrile_modified_tholin(s) | evaporite/surface_catalytic | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:T011 | medium
TS0066 | titan_evaporite_polymerization_surface | tholin*(s) + C2H2(s) -> hydrocarbon_modified_tholin(s) | evaporite/surface_catalytic | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:T012 | medium
TS0067 | titan_evaporite_polymerization_surface | nitrile_modified_tholin(s) + HCN(s) -> N_rich_polymer(s) | evaporite | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:T013 | medium
TS0068 | titan_evaporite_polymerization_surface | hydrocarbon_modified_tholin(s) + C2H2(s) -> C_rich_polymer(s) | evaporite | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:T014 | medium
TS0069 | titan_impact_water_polymerization_surface | HCN(aq) + NH3(aq) -> NH4CN(aq) | impact_water | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:U001 | medium
TS0070 | titan_impact_water_polymerization_surface | NH4CN(aq) + HCN(aq) -> aminonitrile_precursor(aq) | impact_water | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:U002 | medium
TS0071 | titan_impact_water_polymerization_surface | aminonitrile_precursor(aq) + HCN(aq) -> P_HCN_3(aq) | impact_water | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:U003 | medium
TS0072 | titan_impact_water_polymerization_surface | P_HCN_3(aq) + HCN(aq) -> P_HCN_long(aq) | impact_water | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:U004 | medium
TS0073 | titan_impact_water_polymerization_surface | HCN(aq) + H2O(aq) -> HCONH2(aq) | impact_water | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:U005 | medium
TS0074 | titan_impact_water_polymerization_surface | HCONH2(aq) + HCN(aq) -> formamide_HCN_adduct(aq) | impact_water | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:U006 | medium
TS0075 | titan_impact_water_polymerization_surface | formamide_HCN_adduct(aq) + hnu -> prebiotic_residue(aq) | impact_water/photo | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:U007 | medium
TS0076 | titan_impact_water_polymerization_surface | tholin(s) + H2O(aq) -> soluble_organics(aq) | impact_water | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:U008 | medium
TS0077 | titan_impact_water_polymerization_surface | soluble_organics(aq) + HCN(aq) -> N_rich_soluble_polymer(aq) | impact_water | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:U009 | medium
TS0078 | titan_aerosol_polymerization_surface | P_HCN_long(aer) + hnu -> P_HCN_frag(aer) + CN(aer) | aerosol/photo | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:V001 | medium
TS0079 | titan_aerosol_polymerization_surface | P_C2H2_long(aer) + hnu -> P_C2H2_frag(aer) + C2H(aer) | aerosol/photo | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:V002 | medium
TS0080 | titan_aerosol_polymerization_surface | P_CN_long(aer) + hnu -> P_CN_frag(aer) + CN(aer) | aerosol/photo | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:V003 | medium
TS0081 | titan_aerosol_polymerization_surface | P_CN_long(aer) + P_CxHy_long(aer) -> mixed_tholin(aer) | aerosol | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:V004 | medium
TS0082 | titan_aerosol_polymerization_surface | mixed_tholin(aer) + hnu -> refractory_tholin(aer) | aerosol/photo | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:V005 | medium
TS0083 | titan_evaporite_polymerization_surface | P_HCN_long(s) + hnu -> refractory_nitrile_residue(s) | evaporite/photo | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:V006 | medium
TS0084 | titan_evaporite_polymerization_surface | P_C2H2_long(s) + hnu -> refractory_hydrocarbon_residue(s) | evaporite/photo | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:V007 | medium
TS0085 | titan_evaporite_polymerization_surface | P_CN_long(s) + hnu -> refractory_nitrile_residue(s) | evaporite/photo | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:V008 | medium
TS0086 | titan_evaporite_polymerization_surface | refractory_nitrile_residue(s) + refractory_hydrocarbon_residue(s) -> mixed_organic_residue(s) | evaporite | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:V009 | medium

# Generic polymerization templates. These are not separate monomer counts.
# The solver should expand n only when an explicit finite polymer length model is requested.
TS0087 | titan_lake_ch4_rich_polymerization_template | P_HCN_n(sol) + HCN(sol) + tholin* -> P_HCN_nplus1(sol) + tholin* | lake_ch4_rich/surface_catalytic/template | titan_polymer_growth_template | Generic HCN chain-growth template in hydrocarbon liquid | HCN_polymerization_literature_template | medium
TS0088 | titan_lake_c2h6_rich_polymerization_template | P_HCN_n(sol) + HCN(sol) + tholin* -> P_HCN_nplus1(sol) + tholin* | lake_c2h6_rich/surface_catalytic/template | titan_polymer_growth_template | Generic HCN chain-growth template in hydrocarbon liquid | HCN_polymerization_literature_template | medium
TS0089 | titan_evaporite_polymerization_template | P_HCN_n(s) + HCN(s) + mineral* -> P_HCN_nplus1(s) + mineral* | evaporite/surface_catalytic/template | titan_polymer_growth_template | Generic HCN chain-growth template on evaporite/mineral surface | HCN_polymerization_literature_template | medium
TS0090 | titan_impact_water_polymerization_template | P_HCN_n(aq) + HCN(aq) -> P_HCN_nplus1(aq) | impact_water/template | titan_polymer_growth_template | Generic aqueous HCN chain-growth template | HCN_polymerization_literature_template | medium
TS0091 | titan_aerosol_polymerization_template | P_HCN_n(aer) + HCN(aer) + tholin* -> P_HCN_nplus1(aer) + tholin* | aerosol/surface_catalytic/template | titan_polymer_growth_template | Generic aerosol HCN chain-growth template | HCN_polymerization_literature_template | medium
TS0092 | titan_lake_polymerization_template | P_CN_n(sol) + HC3N(sol) + tholin* -> P_CN_nplus1(sol) + tholin* | lake/surface_catalytic/template | titan_polymer_growth_template | Generic nitrile-rich chain-growth template in hydrocarbon liquid | HCN_polymerization_literature_template | medium
TS0093 | titan_evaporite_polymerization_template | P_CN_n(s) + HC3N(s) + mineral* -> P_CN_nplus1(s) + mineral* | evaporite/surface_catalytic/template | titan_polymer_growth_template | Generic nitrile-rich chain-growth template on evaporite/mineral surface | HCN_polymerization_literature_template | medium
TS0094 | titan_lake_polymerization_template | P_C2H2_n(sol) + C2H2(sol) + tholin* -> P_C2H2_nplus1(sol) + tholin* | lake/surface_catalytic/template | titan_polymer_growth_template | Generic acetylene chain-growth template in hydrocarbon liquid | Titan_tholin_acetylene_polymerization_template | medium
TS0095 | titan_evaporite_polymerization_template | P_C2H2_n(s) + C2H2(s) + mineral* -> P_C2H2_nplus1(s) + mineral* | evaporite/surface_catalytic/template | titan_polymer_growth_template | Generic acetylene chain-growth template on evaporite/mineral surface | Titan_tholin_acetylene_polymerization_template | medium

# Aqueous/ammonia-water impact chemistry: amides, formamide, and nitrile hydrolysis/hydration.
TS0096 | titan_impact_water_amide_chemistry | HCN(aq) + H2O(aq) -> HCONH2(aq) | impact_water/amide | titan_impact_water_amide_rate | HCN hydration to formamide in transient aqueous impact melt | HCN_formamide_prebiotic_literature | medium
TS0097 | titan_impact_water_amide_chemistry | R_CN(aq) + H2O(aq) -> R_CONH2(aq) | impact_water/amide/template | titan_impact_water_amide_rate | Generic nitrile hydration to amide template | organic_nitrile_hydration_template | medium
TS0098 | titan_impact_water_amide_chemistry | HC3N(aq) + H2O(aq) -> cyanoacetamide(aq) | impact_water/amide | titan_impact_water_amide_rate | Cyanoacetylene hydration to amide-like product | organic_nitrile_hydration_template | low
TS0099 | titan_impact_water_amide_chemistry | HCONH2(aq) + HCN(aq) -> formamide_HCN_adduct(aq) | impact_water/amide | titan_impact_water_amide_rate | Formamide-HCN coupling branch | HCN_formamide_prebiotic_literature | medium
TS0100 | titan_impact_water_amide_chemistry | formamide_HCN_adduct(aq) + HCN(aq) -> aminonitrile_precursor(aq) | impact_water/amide | titan_impact_water_amide_rate | Formamide-assisted aminonitrile precursor formation | HCN_formamide_prebiotic_literature | low
TS0101 | titan_impact_water_amide_chemistry | P_HCN_n(aq) + H2O(aq) -> P_HCN_hydrolyzed_n(aq) | impact_water/hydrolysis/template | titan_polymer_hydrolysis_template | Generic HCN-polymer hydrolysis template producing oxygenated material | HCN_polymer_hydrolysis_literature_template | medium
