# Titan atmosphere candidate reaction network v0
# Purpose: starting reaction list for a kinetic/SSA/ODE network.
# Not a single canonical literature network; compiled/synthesized from Titan photochemistry mechanisms.
# Sources to check for rates: Yung et al. 1984 ApJS; Clarke & Ferris 1997; Wilson & Atreya 2004; Loison et al. 2015; Pearce et al. 2020 CRAHCN.
# Columns: ID | MODULE | REACTION | CATALYST_OR_CONTROL | RATE_TEMPLATE | ROLE | REFS | CONFIDENCE

R001 | photolysis_electron_sources | N2 + hnu -> N(4S) + N(2D) | photo/electron | titan_kinetic_rate | Titan atmosphere candidate reaction | Yung1984_Clarke1997_Titan_models | medium
R065 | H_H2_radical_pool | H + H2CO -> HCO + H2 | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R066 | C1_methane_degradation | CH3 + CH3 + M -> C2H6 + M | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R067 | C1_methane_degradation | CH3 + CH3 -> C2H5 + H | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R068 | C1_methane_degradation | CH3 + H + M -> CH4 + M | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R069 | C1_methane_degradation | CH3 + 1CH2 -> C2H4 + H | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R070 | C1_methane_degradation | CH3 + 3CH2 -> C2H4 + H | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R071 | C1_methane_degradation | CH3 + CH -> C2H3 + H | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R072 | C1_methane_degradation | CH3 + C -> C2H2 + H | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R073 | C1_methane_degradation | 1CH2 + H2 -> CH3 + H | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R074 | C1_methane_degradation | 3CH2 + H2 -> CH3 + H | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R075 | C1_methane_degradation | 1CH2 + N2 -> 3CH2 + N2 | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R076 | C1_methane_degradation | 1CH2 + CH4 -> CH3 + CH3 | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R077 | C1_methane_degradation | 3CH2 + CH4 -> CH3 + CH3 | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R078 | C1_methane_degradation | CH + CH4 -> C2H4 + H | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R079 | C1_methane_degradation | CH + H2 -> 3CH2 + H | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R080 | C1_methane_degradation | C + CH4 -> C2H3 + H | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R081 | C1_methane_degradation | C + H2 -> CH + H | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R082 | hydrocarbon_growth | C2H + H2 -> C2H2 + H | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R083 | hydrocarbon_growth | C2H + CH4 -> C2H2 + CH3 | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R084 | hydrocarbon_growth | C2H + C2H2 -> C4H2 + H | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R085 | hydrocarbon_growth | C2H + C2H4 -> C4H4 + H | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R086 | hydrocarbon_growth | C2H + C2H6 -> C2H2 + C2H5 | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R087 | hydrocarbon_growth | C2H + C3H4 -> C5H4 + H | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R088 | hydrocarbon_growth | C2H + C4H2 -> C6H2 + H | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R089 | hydrocarbon_growth | C2H2 + CH2 + M -> CH3CCH + M | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R090 | hydrocarbon_growth | C2H2 + CH3 -> C3H5 | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R091 | hydrocarbon_growth | C2H2 + C2H3 -> C4H4 + H | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R092 | hydrocarbon_growth | C2H2 + C2H5 -> C4H6 + H | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R093 | hydrocarbon_growth | C2H2 + C3H3 -> C5H5 | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R094 | hydrocarbon_growth | C2H2 + C4H -> C6H2 + H | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R095 | hydrocarbon_growth | C2H3 + H + M -> C2H4 + M | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R096 | hydrocarbon_growth | C2H3 + H -> C2H2 + H2 | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R097 | hydrocarbon_growth | C2H3 + CH3 -> C3H6 | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R098 | hydrocarbon_growth | C2H3 + C2H3 -> C4H6 | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R099 | hydrocarbon_growth | C2H3 + C2H5 -> C4H8 | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R100 | hydrocarbon_growth | C2H4 + H + M -> C2H5 + M | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R101 | hydrocarbon_growth | C2H4 + CH3 -> C3H7 | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R102 | hydrocarbon_growth | C2H4 + C2H -> C4H4 + H | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R103 | hydrocarbon_growth | C2H4 + C2H3 -> C4H7 | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R104 | hydrocarbon_growth | C2H5 + H + M -> C2H6 + M | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R105 | hydrocarbon_growth | C2H5 + CH3 -> C3H8 | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R106 | hydrocarbon_growth | C2H5 + C2H5 -> C4H10 | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R107 | hydrocarbon_growth | C2H6 + CH -> C3H6 + H | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R108 | hydrocarbon_growth | C3H3 + H -> C3H2 + H2 | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R109 | hydrocarbon_growth | C3H3 + H + M -> C3H4 + M | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R110 | hydrocarbon_growth | C3H3 + CH3 -> C4H6 | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R111 | hydrocarbon_growth | C3H3 + C2H2 -> C5H5 | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R112 | hydrocarbon_growth | C3H3 + C3H3 -> C6H6 | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R113 | hydrocarbon_growth | C3H4 + H -> C3H3 + H2 | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R114 | hydrocarbon_growth | C3H4 + CH3 -> C4H6 + H | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R115 | hydrocarbon_growth | C3H4 + C2H -> C5H4 + H | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R116 | hydrocarbon_growth | C3H5 + H -> C3H4 + H2 | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R117 | hydrocarbon_growth | C3H5 + H + M -> C3H6 + M | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R118 | hydrocarbon_growth | C3H5 + CH3 -> C4H8 | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R119 | hydrocarbon_growth | C3H6 + H -> C3H5 + H2 | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R120 | hydrocarbon_growth | C3H6 + CH3 -> C4H9 | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R121 | hydrocarbon_growth | C3H7 + H -> C3H6 + H2 | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R122 | hydrocarbon_growth | C3H7 + H + M -> C3H8 + M | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R123 | hydrocarbon_growth | C3H7 + CH3 -> C4H10 | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R124 | hydrocarbon_growth | C3H8 + H -> C3H7 + H2 | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R125 | hydrocarbon_growth | C4H + H2 -> C4H2 + H | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R126 | hydrocarbon_growth | C4H + CH4 -> C4H2 + CH3 | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R127 | hydrocarbon_growth | C4H + C2H2 -> C6H2 + H | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R128 | hydrocarbon_growth | C4H2 + H -> C4H + H2 | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R129 | hydrocarbon_growth | C4H2 + C2H -> C6H2 + H | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R130 | hydrocarbon_growth | C4H2 + C4H -> C8H2 + H | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R131 | hydrocarbon_growth | C4H3 + H -> C4H2 + H2 | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R132 | hydrocarbon_growth | C4H3 + H + M -> C4H4 + M | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R133 | hydrocarbon_growth | C4H3 + C2H2 -> C6H5 | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R134 | hydrocarbon_growth | C4H4 + H -> C4H3 + H2 | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R135 | hydrocarbon_growth | C4H4 + C2H -> C6H4 + H | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R136 | hydrocarbon_growth | C4H5 + H -> C4H4 + H2 | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R137 | hydrocarbon_growth | C4H5 + H + M -> C4H6 + M | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R138 | hydrocarbon_growth | C4H6 + H -> C4H5 + H2 | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R139 | hydrocarbon_growth | C4H6 + C2H -> C6H6 + H | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R140 | hydrocarbon_growth | C5H5 + H -> C5H4 + H2 | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R141 | hydrocarbon_growth | C5H5 + CH3 -> C6H8 | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R142 | hydrocarbon_growth | C6H5 + H -> C6H6 | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R143 | hydrocarbon_growth | C6H5 + C2H2 -> C8H6 + H | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R144 | hydrocarbon_growth | C6H6 + H -> C6H5 + H2 | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R145 | hydrocarbon_growth | C6H6 + C2H -> C8H6 + H | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R146 | hydrocarbon_growth | C8H2 + H -> C8H + H2 | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R147 | hydrocarbon_growth | C8H2 + C2H -> C10H2 + H | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R148 | hydrocarbon_growth | C2 + H2 -> C2H + H | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R149 | hydrocarbon_growth | C2 + CH4 -> C2H2 + H2 | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R150 | hydrocarbon_growth | C2 + C2H2 -> C4H + H | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R151 | hydrocarbon_growth | C + C2H2 -> C3H + H | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R152 | hydrocarbon_growth | C + C2H4 -> C3H3 + H | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R153 | nitrogen_nitrile_chemistry | N(4S) + CH3 -> H2CN + H | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R154 | nitrogen_nitrile_chemistry | N(4S) + CH3 -> HCN + H2 | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R155 | nitrogen_nitrile_chemistry | N(4S) + 3CH2 -> HCN + H | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R156 | nitrogen_nitrile_chemistry | N(2D) + CH4 -> NH + CH3 | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R157 | nitrogen_nitrile_chemistry | N(2D) + CH4 -> CH2NH + H | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R158 | nitrogen_nitrile_chemistry | N(2D) + H2 -> NH + H | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R159 | nitrogen_nitrile_chemistry | N(2D) + C2H2 -> CHCN + H | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R160 | nitrogen_nitrile_chemistry | N(2D) + C2H4 -> CH2CN + H | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R161 | nitrogen_nitrile_chemistry | N(2D) + C2H6 -> C2H5NH | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R162 | nitrogen_nitrile_chemistry | N + CH -> CN + H | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R163 | nitrogen_nitrile_chemistry | N + C2H -> CN + CH | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R164 | nitrogen_nitrile_chemistry | N + C2H3 -> HCN + CH2 | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R165 | nitrogen_nitrile_chemistry | N + C2H5 -> HCN + CH4 | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R166 | nitrogen_nitrile_chemistry | N + H2CN -> HCN + NH | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R167 | nitrogen_nitrile_chemistry | N + NH -> N2 + H | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R168 | nitrogen_nitrile_chemistry | N + NH2 -> N2 + H + H | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R169 | nitrogen_nitrile_chemistry | N + CN -> N2 + C | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R170 | nitrogen_nitrile_chemistry | N + HCN -> CN + NH | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R171 | nitrogen_nitrile_chemistry | CN + H2 -> HCN + H | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R172 | nitrogen_nitrile_chemistry | CN + CH4 -> HCN + CH3 | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R173 | nitrogen_nitrile_chemistry | CN + C2H2 -> HC3N + H | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R174 | nitrogen_nitrile_chemistry | CN + C2H4 -> C2H3CN + H | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R175 | nitrogen_nitrile_chemistry | CN + C2H6 -> HCN + C2H5 | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R176 | nitrogen_nitrile_chemistry | CN + HCN -> C2N2 + H | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R177 | nitrogen_nitrile_chemistry | CN + C4H2 -> HC5N + H | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R178 | nitrogen_nitrile_chemistry | CN + C6H2 -> HC7N + H | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
